,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
34,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.13.txt,9142,853,10.713950762016411,0.2895662368112544,6.039007092198582,15,3,0,978,21,434,2,57,65,81,41,40,10,584,624,1,15,5,1,41,158,19,138
35,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.14.txt,6805,573,11.8760907504363,0.331588132635253,6.299559471365638,7,3,2,607,22,278,1,37,38,53,31,29,12,438,443,1,3,8,0,33,65,23,96
36,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.15.txt,6570,612,10.72549019607843,0.3022875816993464,6.570093457943925,15,2,0,626,20,289,3,46,39,70,19,17,9,449,458,1,3,5,0,43,80,22,108
37,Cicero,Epistulae ad Atticum,epistolography,cicero.letters_to_atticus.part.16.txt,6785,578,11.737024221453288,0.3356401384083045,6.468354430379747,18,1,1,690,35,296,4,33,32,48,27,21,7,424,422,1,7,11,0,26,83,26,117
38,Cicero,Epistulae ad Brutum,epistolography,cicero.letters_to_brutus.txt,9560,486,19.64197530864197,0.5246913580246914,7.940860215053763,22,1,5,947,32,368,9,92,60,2,46,15,0,486,615,0,11,9,3,38,130,49,113
39,Cicero,Epistulae ad Quintum Fratrem,epistolography,cicero.letters_to_quintus.txt,18513,960,19.277083333333334,0.4614583333333333,7.303724928366762,27,2,1,1713,78,779,11,148,107,71,93,43,6,1095,1202,1,28,7,3,101,181,111,261
40,Jerome,"Epistulae selections (letters 1, 7, 14, 22, 38, 40, 43, 44, 45, 52, 54, 60, 77, 107, 117, 125, 127, 128 combined)",epistolography,jerome.epistulae.txt,289584,12739,22.66213988539132,0.51440458434728,5.602230825958702,1045,74,323,30668,585,9020,254,1643,1331,1554,1150,415,88,7349,21764,23,383,64,0,1267,2524,775,3093
41,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.1.txt,6321,393,16.071246819338423,0.4783715012722646,5.25,28,2,0,677,21,225,5,70,46,26,52,13,4,234,277,0,16,4,0,12,67,43,101
42,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.2.txt,6369,382,16.672774869109947,0.468586387434555,5.692622950819672,30,1,0,630,18,221,3,64,35,24,37,11,0,171,298,0,13,2,1,12,61,61,74
43,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.3.txt,6670,383,17.41514360313316,0.4360313315926893,5.616071428571429,21,1,1,649,32,220,7,46,53,34,38,6,0,192,332,0,20,5,0,20,63,56,92
44,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.4.txt,6284,422,14.890995260663509,0.424170616113744,5.475409836065574,18,1,1,593,28,214,4,41,31,38,50,11,1,205,312,0,14,3,1,18,55,60,92
45,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.5.txt,6007,371,16.191374663072775,0.4528301886792453,5.35064935064935,32,1,0,596,10,187,7,37,40,15,36,6,2,193,294,2,7,3,0,25,54,53,79
46,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.6.txt,6829,450,15.171111111111111,0.3955555555555555,5.555555555555555,22,1,1,712,22,216,6,55,44,26,40,4,3,247,296,0,12,2,4,28,56,61,103
47,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.7.txt,6197,421,14.719714964370546,0.3657957244655582,5.158139534883721,15,0,1,649,16,189,8,54,42,38,38,13,3,255,271,0,11,8,0,22,63,55,95
48,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.8.txt,6188,359,17.23676880222841,0.532033426183844,5.4784172661870505,23,4,1,604,14,214,7,71,45,39,43,8,1,133,291,0,19,2,0,25,51,55,98
49,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.9.txt,6420,405,15.846913580246914,0.4567901234567901,5.256603773584906,26,0,0,637,22,224,11,64,32,34,40,10,0,235,304,0,18,0,3,22,63,73,86
50,Pliny the Younger,Epistulae,epistolography,pliny_the_younger.letters.part.10.txt,9872,455,21.69010989010989,0.643956043956044,5.60377358490566,24,2,1,863,40,354,12,136,76,2,45,16,0,368,655,0,18,2,2,36,66,101,124
51,Seneca the Younger,Epistulae ad Lucilium (1-10),epistolography,seneca.ad_lucilium_epistulae_morales.part.1.1-10.txt,5110,393,12.994910941475826,0.3791348600508906,4.5,18,0,0,456,20,218,8,52,31,51,35,26,0,196,240,0,14,0,0,46,49,16,51
52,Seneca the Younger,Epistulae ad Lucilium (11-20),epistolography,seneca.ad_lucilium_epistulae_morales.part.2.11-20.txt,7161,552,12.971014492753625,0.3333333333333333,4.904761904761905,25,1,1,726,16,302,3,82,32,83,27,34,3,261,398,1,13,0,0,46,89,16,60
53,Seneca the Younger,Epistulae ad Lucilium (21-30),epistolography,seneca.ad_lucilium_epistulae_morales.part.3.21-30.txt,7081,521,13.591170825335892,0.3800383877159309,4.1063829787234045,38,2,0,629,34,321,10,102,36,69,48,40,1,265,354,0,12,1,1,38,89,15,69
54,Seneca the Younger,Epistulae ad Lucilium (31-40),epistolography,seneca.ad_lucilium_epistulae_morales.part.4.31-40.txt,4221,336,12.5625,0.375,4.3563829787234045,17,0,1,435,8,195,2,45,18,52,15,32,1,148,205,0,5,2,1,36,54,14,31
55,Seneca the Younger,Epistulae ad Lucilium (41-50),epistolography,seneca.ad_lucilium_epistulae_morales.part.5.41-50.txt,5501,433,12.699769053117782,0.3325635103926097,4.372093023255814,35,1,2,469,12,268,8,35,28,68,30,38,3,221,302,0,14,0,2,26,72,18,46
