,Author,Work,Genre,File Name,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
44,Ovid,Epistulae ex Ponto 2,elegy,ovid.ex_ponto.part.2.txt,4956,263,18.84410646387833,0.3726235741444867,4.98581560283688,4,0,1,387,9,110,5,26,17,16,24,9,5,260,169,0,1,1,0,15,49,9,40
45,Ovid,Epistulae ex Ponto 3,elegy,ovid.ex_ponto.part.3.txt,4787,281,17.03202846975089,0.3416370106761566,5.065573770491803,6,0,1,406,6,134,19,32,19,30,27,7,8,215,185,0,3,1,0,10,55,5,45
46,Ovid,Epistulae ex Ponto 4,elegy,ovid.ex_ponto.part.4.txt,6021,327,18.412844036697248,0.3792048929663608,5.027932960893855,9,0,0,499,6,166,9,29,18,28,17,14,5,270,233,0,1,3,1,12,50,6,43
47,Ovid,Fasti 1,elegy,ovid.fasti.part.1.txt,4568,237,19.27426160337553,0.3459915611814346,5.0,4,0,0,350,8,115,6,21,23,23,22,8,1,90,182,0,1,0,1,13,14,3,33
48,Ovid,Fasti 2,elegy,ovid.fasti.part.2.txt,5425,309,17.553398058252426,0.2297734627831715,5.0,6,0,0,425,8,155,11,22,17,32,22,4,1,92,220,0,0,0,0,15,21,3,27
49,Ovid,Fasti 3,elegy,ovid.fasti.part.3.txt,5556,316,17.57278481012658,0.2784810126582278,4.775700934579439,1,0,1,438,10,166,10,26,15,30,17,2,4,100,224,0,1,2,1,13,29,5,29
50,Ovid,Fasti 4,elegy,ovid.fasti.part.4.txt,5980,346,17.271676300578033,0.2196531791907514,4.976744186046512,2,0,0,516,11,160,6,33,8,30,12,5,0,96,204,0,1,0,0,13,30,8,24
51,Ovid,Fasti 5,elegy,ovid.fasti.part.5.txt,4601,263,17.482889733840302,0.2205323193916349,4.666666666666667,5,0,0,377,10,126,9,29,8,20,13,1,1,99,167,0,0,1,0,14,26,5,27
52,Ovid,Fasti 6,elegy,ovid.fasti.part.6.txt,5142,301,17.07308970099668,0.2757475083056478,4.610526315789474,4,0,0,390,8,167,1,25,13,25,23,6,7,101,216,0,2,0,0,14,29,2,13
53,Ovid,Heroides 1,elegy,ovid.heroides.part.1.1-15.txt,15605,1223,12.580539656582175,0.214227309893704,4.676923076923077,8,0,0,1281,21,333,30,89,33,183,78,20,19,737,547,0,1,5,0,30,122,15,95
54,Ovid,Heroides 2,elegy,ovid.heroides.part.2.16-21.txt,10455,756,13.703703703703704,0.2724867724867725,4.460905349794238,10,0,0,866,24,303,29,41,43,106,55,34,11,590,332,0,1,6,0,14,101,10,88
55,Ovid,Ibis,elegy,ovid.ibis.txt,4042,213,18.95774647887324,0.3990610328638497,5.311594202898551,0,0,0,334,6,72,10,8,17,1,17,1,0,121,164,0,0,0,0,7,14,6,126
56,Ovid,Medicamina Faciei Femineae,elegy,ovid.medicamina_faciei_femineae.txt,613,43,14.255813953488373,0.3255813953488372,4.5,0,0,0,43,0,6,0,6,1,0,3,0,0,14,23,0,0,0,0,4,1,0,1
57,Ovid,Remedia Amoris,elegy,ovid.remedia_amoris.txt,5260,389,13.519280205655528,0.2596401028277635,4.260162601626016,8,0,0,408,6,133,12,33,20,41,14,6,3,152,164,0,3,3,0,17,44,4,39
58,Ovid,Tristia 1,elegy,ovid.tristia.part.1.txt,4737,267,17.741573033707866,0.348314606741573,4.6,2,0,0,417,10,140,10,31,17,19,26,6,4,194,173,0,1,0,0,9,61,13,40
59,Ovid,Tristia 2,elegy,ovid.tristia.part.2.txt,3662,198,18.48989898989899,0.2878787878787879,4.646341463414634,9,0,0,318,5,83,2,21,14,36,12,2,3,122,122,0,2,0,0,15,31,5,38
60,Ovid,Tristia 3,elegy,ovid.tristia.part.3.txt,5098,293,17.399317406143346,0.3208191126279863,4.462809917355372,2,0,0,482,7,133,15,29,16,36,18,10,5,197,182,0,0,1,0,10,50,10,45
61,Ovid,Tristia 4,elegy,ovid.tristia.part.4.txt,4391,228,19.25877192982456,0.4122807017543859,4.984251968503937,3,1,1,402,10,114,7,17,10,20,19,6,3,189,167,1,3,1,0,10,33,5,27
62,Ovid,Tristia 5,elegy,ovid.tristia.part.5.txt,4933,271,18.199261992619927,0.3911439114391143,4.636986301369863,4,0,3,414,6,117,6,21,14,37,33,12,9,220,191,0,1,3,0,18,53,6,56
63,Propertius,Elegies (books 1-4 combined),elegy,propertius.elegies.txt,25309,1500,16.848,0.2453333333333333,5.475750577367205,21,0,2,2007,42,581,27,76,46,210,78,41,30,1068,933,0,8,12,0,38,253,4,80
64,Rutilius,De Reditu,elegy,rutilius.de_reditu.txt,3973,214,18.560747663551403,0.3317757009345794,5.747126436781609,5,0,1,281,5,43,17,18,4,8,17,0,2,44,92,1,1,2,0,10,26,5,7
65,Tibullus,Elegies (books 1-4 combined),elegy,tibullus.elegies.txt,12395,674,18.344213649851632,0.2255192878338278,5.786516853932584,25,0,5,1188,28,293,28,57,40,60,64,5,15,512,401,1,2,12,0,31,119,8,59
66,Catullus,Poem 64,epic,catullus.carmina.64.txt,2445,109,22.431192660550455,0.3577981651376147,8.140350877192983,3,0,0,130,4,32,1,8,2,15,11,0,2,58,78,0,0,0,0,12,2,1,16
67,Claudian,De Bello Gildonico,epic,claudian.de_bello_gildonico.txt,3168,228,13.890350877192985,0.1973684210526315,4.727272727272728,2,0,0,303,3,45,6,8,4,48,10,0,3,67,84,0,0,0,0,14,26,2,13
