,genre,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
ovid.metamorphoses.part.10.txt,epic,4895,317,15.40694006,0.223974763,5.463414634,0.00081716,0,0,0.127068437,0.001634321,0.024719101,0.002860061,0.003268641,0.003472932,0.004902962,0.004902962,0.00081716,0.001225741,0.019203269,0.037180797,0,0,0,0,0.003677222,0.007967314,0.001634321,0.004902962
ovid.metamorphoses.part.11.txt,epic,5168,280,18.45,0.278571429,5.891304348,0.001354489,0,0.000193498,0.115905573,0.000967492,0.025735294,0.003289474,0.002321981,0.000967492,0.002128483,0.003869969,0.000386997,0.000193498,0.014705882,0.04005418,0,0,0,0,0.004256966,0.004063467,0.002321981,0.004643963
ovid.metamorphoses.part.12.txt,epic,4081,206,19.80097087,0.359223301,6.034482759,0.001470228,0,0.000245038,0.113697623,0.001470228,0.022053418,0.000980152,0.003185494,0.003185494,0.004410684,0.003430532,0.000490076,0.00122519,0.014947317,0.047782406,0,0,0,0,0.002205342,0.001960304,0.001715266,0.004410684
ovid.metamorphoses.part.13.txt,epic,6387,330,19.33333333,0.327272727,5.17218543,0.000939408,0,0.000156568,0.118208862,0.001878816,0.026616565,0.001095976,0.005636449,0.002818225,0.007671833,0.003131361,0.002191952,0.001095976,0.03413183,0.039611711,0,0,0.000156568,0,0.004227337,0.006888993,0.001722248,0.004853609
ovid.metamorphoses.part.14.txt,epic,5534,219,25.25570776,0.401826484,6.153846154,0.000180701,0,0,0.121069751,0.000903506,0.021503433,0.001807011,0.00325262,0.002168413,0.001987712,0.003614022,0,0.001807011,0.022406939,0.040657752,0,0.000180701,0.000180701,0,0.003614022,0.005421034,0.001987712,0.003794724
ovid.metamorphoses.part.15.txt,epic,5635,245,22.99591837,0.359183673,5.745762712,0.002484472,0,0,0.125820763,0.001597161,0.018988465,0.000354925,0.004436557,0.004081633,0.005146406,0.003194321,0.000709849,0.000887311,0.011002662,0.039751553,0,0.000177462,0,0,0.002129547,0.005856256,0.001419698,0.003016859
ovid.metamorphoses.part.2.txt,epic,5713,320,17.84375,0.290625,5.540540541,0,0,0,0.123577805,0.001225276,0.019429372,0.00280063,0.003325748,0.003150709,0.004375985,0.002625591,0.000700158,0.000875197,0.016628741,0.03990898,0,0.000350079,0,0,0.003675827,0.004726063,0.002100473,0.006651497
ovid.metamorphoses.part.3.txt,epic,4827,308,15.66233766,0.269480519,5.364583333,0.00207168,0,0,0.117464264,0.001450176,0.026517506,0.002900352,0.003521856,0.002693184,0.00621504,0.0051792,0.00103584,0.001243008,0.018645121,0.037083074,0,0,0,0,0.002900352,0.005593536,0.001450176,0.003521856
ovid.metamorphoses.part.4.txt,epic,5197,274,18.96715328,0.273722628,5.840425532,0.000384837,0,0,0.117375409,0.001346931,0.025014431,0.003078699,0.002693862,0.002886281,0.003271118,0.001924187,0.000962094,0.001346931,0.016740427,0.045218395,0,0,0,0,0.004040793,0.003463537,0.003078699,0.006157398
ovid.metamorphoses.part.5.txt,epic,4415,253,17.44664032,0.304347826,6.021505376,0.000679502,0,0.000226501,0.117553794,0.001132503,0.022650057,0.002944507,0.003624009,0.001585504,0.00385051,0.001812005,0.000226501,0.000906002,0.021291053,0.045753114,0,0,0.000226501,0,0.003171008,0.004530011,0.002718007,0.003624009
ovid.metamorphoses.part.6.txt,epic,4674,275,16.99636364,0.236363636,5.626666667,0.000427899,0,0,0.10868635,0.001497647,0.023962345,0.001711596,0.003637142,0.002567394,0.003637142,0.00427899,0.000427899,0.001069748,0.017115961,0.040008558,0,0,0.000427899,0,0.003209243,0.00449294,0.000855798,0.006632435
ovid.metamorphoses.part.7.txt,epic,5577,356,15.65168539,0.235955056,5.979591837,0.001075847,0,0.000358616,0.122287968,0.001434463,0.020979021,0.002689618,0.00340685,0.001793079,0.00502062,0.004303389,0.001434463,0.000537924,0.022413484,0.038909808,0.000179308,0,0.000537924,0,0.004303389,0.004303389,0.001434463,0.003944773
ovid.metamorphoses.part.8.txt,epic,5726,362,15.79558011,0.215469613,6.25,0.00087321,0,0,0.116835487,0.001047852,0.022354174,0.002794272,0.002968914,0.001921062,0.003842124,0.00349284,0.000523926,0.002444988,0.018861334,0.040691582,0,0,0,0,0.003143556,0.004016766,0.000698568,0.005413902
ovid.metamorphoses.part.9.txt,epic,5230,335,15.60597015,0.259701493,5.223300971,0.000956023,0,0,0.120650096,0.001912046,0.019694073,0.003250478,0.004971319,0.002294455,0.008604207,0.00458891,0.000956023,0.001147228,0.02543021,0.029827916,0,0.000191205,0.000573614,0,0.003824092,0.007648184,0.001147228,0.005544933
ovid.remedia_amoris.txt,elegy,5260,389,13.51928021,0.259640103,4.260162602,0.001520913,0,0,0.07756654,0.001140684,0.025285171,0.002281369,0.006273764,0.003802281,0.007794677,0.002661597,0.001140684,0.000570342,0.028897338,0.031178707,0,0.000570342,0.000570342,0,0.003231939,0.008365019,0.000760456,0.007414449
ovid.tristia.part.1.txt,elegy,4737,267,17.74157303,0.348314607,4.6,0.000422208,0,0,0.088030399,0.002111041,0.02955457,0.002111041,0.006544226,0.003588769,0.004010977,0.005488706,0.001266624,0.000844416,0.04095419,0.036521005,0,0.000211104,0,0,0.001899937,0.012877349,0.002744353,0.008444163
ovid.tristia.part.2.txt,elegy,3662,198,18.48989899,0.287878788,4.646341463,0.002457673,0,0,0.086837794,0.001365374,0.02266521,0.00054615,0.005734571,0.003823048,0.009830694,0.003276898,0.00054615,0.000819224,0.033315128,0.033315128,0,0.00054615,0,0,0.004096122,0.008465319,0.001365374,0.010376843
ovid.tristia.part.3.txt,elegy,5098,293,17.39931741,0.320819113,4.462809917,0.000392311,0,0,0.094546881,0.001373087,0.026088662,0.00294233,0.005688505,0.003138486,0.007061593,0.003530796,0.001961554,0.000980777,0.038642605,0.035700275,0,0,0.000196155,0,0.001961554,0.009807768,0.001961554,0.008826991
ovid.tristia.part.4.txt,elegy,4391,228,19.25877193,0.412280702,4.984251969,0.000683216,0.000227739,0.000227739,0.0915509,0.002277386,0.025962195,0.00159417,0.003871555,0.002277386,0.004554771,0.004327033,0.001366431,0.000683216,0.043042587,0.038032339,0.000227739,0.000683216,0.000227739,0,0.002277386,0.007515372,0.001138693,0.006148941
ovid.tristia.part.5.txt,elegy,4933,271,18.19926199,0.391143911,4.636986301,0.000810866,0,0.000608149,0.083924589,0.001216298,0.023717819,0.001216298,0.004257044,0.00283803,0.007500507,0.006689641,0.002432597,0.001824448,0.044597608,0.038718832,0,0.000202716,0.000608149,0,0.003648895,0.010743969,0.001216298,0.011352118
persius.satires.txt,miscellaneous,4692,321,13.89096573,0.161993769,5.738461538,0.001278772,0,0.000426257,0.090366581,0.002557545,0.030051151,0.001065644,0.004475703,0.001918159,0.030051151,0.001065644,0.001491901,0.002770673,0.027280477,0.031329923,0,0.000213129,0.000852515,0,0.002983802,0.01001705,0.000213129,0.004688832
phaedrus.fabulae_aesopiae.txt,miscellaneous,11003,819,13.42857143,0.35042735,4.783707865,0.002272108,0,0,0.066163774,0.006180133,0.026992638,0.003362719,0.004362447,0.005089521,0.006180133,0.002635645,0.000908843,0.000817959,0.026719985,0.03462692,9.09E-05,0.003271835,0.000181769,0,0.008088703,0.007906934,0.000999727,0.009179315
plautus.amphitruo.txt,drama,9340,987,9.460992908,0.19858156,4.87966805,0.001820128,0,0.000321199,0.076017131,0.001820128,0.052997859,0.00117773,0.001605996,0.005139186,0.027301927,0.001391863,0.00620985,0,0.079014989,0.03490364,0.000321199,0.000214133,0.002248394,0,0.004710921,0.013169165,0.000321199,0.014882227
plautus.asinaria.txt,drama,7632,901,8.467258602,0.178690344,4.354166667,0.002489518,0,0.000393082,0.072720126,0.003013627,0.050838574,0.0014413,0.004323899,0.008778826,0.028301887,0.002489518,0.009302935,0.000524109,0.081498952,0.03197065,0.000524109,0,0.003013627,0,0.004848008,0.017033543,0.000655136,0.013757862
plautus.aulularia.txt,drama,6561,744,8.813172043,0.186827957,4.760479042,0.001371742,0,0.000457247,0.075750648,0.001981405,0.050906874,0.000609663,0.001828989,0.006858711,0.025758269,0.001371742,0.005029721,0.000457247,0.08870599,0.032007316,0.000609663,0,0.002743484,0,0.003657979,0.013565005,0.000762079,0.013565005
plautus.bacchides.txt,drama,9458,1182,7.996615905,0.170050761,4.745689655,0.001374498,0,0.000634384,0.067350391,0.002431804,0.059209135,0.00169169,0.001374498,0.006343836,0.032565024,0.002008881,0.006978219,0.001268767,0.076971876,0.033410869,0.000528653,0.000105731,0.001585959,0,0.004123493,0.011630366,0.000634384,0.016071051
plautus.captivi.txt,drama,8288,819,10.11721612,0.230769231,4.714893617,0.002413127,0,0.000723938,0.082046332,0.001085907,0.060931467,0.000965251,0.002171815,0.005791506,0.020511583,0.002051158,0.006998069,0,0.083373552,0.040419884,0.000241313,0,0.001809846,0.000120656,0.004464286,0.01363417,0.000844595,0.013513514
plautus.casina.txt,drama,7186,914,7.852297593,0.135667396,4.698630137,0.000974116,0,0.001113276,0.072084609,0.002504871,0.05329808,0.002087392,0.001669914,0.005009741,0.031032563,0.001391595,0.005844698,0.000695797,0.083217367,0.030615085,0.000139159,0.000417478,0.004035625,0,0.004592263,0.011411077,0.000695797,0.013776788
plautus.cistellaria.txt,drama,4952,573,8.635253054,0.181500873,4.708955224,0.003029079,0,0.000403877,0.073909532,0.001817447,0.075323102,0.000403877,0.002625202,0.006462036,0.019789984,0.001211632,0.007067851,0.000403877,0.084208401,0.033925687,0,0.002625202,0.001615509,0,0.005654281,0.013529887,0.000807754,0.011308562
plautus.curculio.txt,drama,5712,782,7.301790281,0.167519182,4.5,0.00140056,0,0.00105042,0.073529412,0.00122549,0.053396359,0.00297619,0.00227591,0.006302521,0.033438375,0.00280112,0.008578431,0.00070028,0.092962185,0.033088235,0.00052521,0,0.00262605,0,0.003851541,0.013655462,0.00122549,0.012079832
plautus.epidicus.txt,drama,5979,805,7.419875776,0.166459627,4.635220126,0.002676033,0,0.000501756,0.067068072,0.00167252,0.063723031,0.00167252,0.002843285,0.003679545,0.036293695,0.002843285,0.007860846,0,0.083793276,0.037798963,0.00083626,0,0.002007025,0,0.004850309,0.011205887,0.000334504,0.011540391
plautus.menaechmi.txt,drama,8929,1134,7.872134039,0.168430335,4.296943231,0.001567925,0,0.000895957,0.070108635,0.001567925,0.052861463,0.001791914,0.001903909,0.005711726,0.035614291,0.001903909,0.00604771,0.000783962,0.089483705,0.033374398,0.000223989,0.000559973,0.00291186,0,0.004031806,0.010975473,0.002239892,0.012767387
plautus.mercator.txt,drama,8007,1090,7.341284404,0.151376147,4.076923077,0.002248033,0,0.000499563,0.074185088,0.00174847,0.056575496,0.00174847,0.002747596,0.006119645,0.034844511,0.001124016,0.009117023,0.000249781,0.076682902,0.027850631,0.000499563,0.000499563,0.00512052,0,0.004246285,0.013363307,0.000874235,0.013363307
