Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Corpus Name
0.016205267,0,0,0.106796117,0.15,0.03125,1,0.109090909,0,0,0,0.387096774,0.088235294,0.027118644,0.033088235,0.211382114,0.10428737,0.066666667,0.12,0.479011476,0.599133943,0.485714286,0.153846154,0.782608696,0.372093023,0.901644464,Seneca Oedipus
0.06144497,0.042328042,0.066666667,0.349514563,0.25,0.203125,0.626373626,0.236363636,0,0,0,0.258064516,0.029411765,0.020338983,0.113970588,0.288617886,0.097334878,0.066666667,0.2,0.431397222,0.677699718,0.642857143,0.641025641,0.785953177,1,0.917790955,Seneca Phaedra
0.169480081,0.23633157,0.111111111,0.40776699,0.4375,0.203125,0.714285714,0,0,0,0,0.403225806,0.088235294,0.240677966,0.349264706,0.31300813,0.314020857,0.111111111,0.36,1,0.529505372,0.185714286,0.282051282,0.983277592,0,1,Seneca Phoenissae
0,0.128747795,0.066666667,0.349514563,0.0625,0.03125,0.813186813,0.109090909,0,0.6,0,0.274193548,0.088235294,0,0.209558824,0.264227642,0.148319815,0.2,0.36,0.458928931,0.695229018,0.842857143,0.846153846,0.926421405,0.348837209,0.979215466,Seneca Thyestes
0.031060095,0.164902998,0.066666667,0.097087379,0.1,0.21875,0.351648352,0.254545455,0,0,0,0.370967742,0,0.061016949,0.150735294,0.223577236,0.19235226,0.066666667,0,0.649637608,0.671947916,0.457142857,0.820512821,0.993311037,0.88372093,0.869966796,Seneca Troades
0.632680621,0.902116402,0.111111111,0.495145631,0.3875,0.46875,0.967032967,0.454545455,0.125,0,0,0.483870968,0.215686275,0.494915254,0.764705882,0.68699187,0.697566628,0.666666667,0,0.105244614,0.258877632,0.414285714,0.051282051,0.08361204,0.976744186,0.075950248,Terence Adelphi
0.702228224,0.940917108,0.288888889,0.776699029,0.0875,0.703125,0.725274725,0.272727273,0.5,0,1,0.612903226,0.274509804,0.874576271,0.790441176,0.756097561,0.834298957,0.4,0.12,0.156382122,0.333347028,0.414285714,0.512820513,0.173913043,1,0.017369063,Terence Andria
0.721809588,0.884479718,0.555555556,0.631067961,0.7375,0.984375,0.747252747,0.454545455,0.125,0,0,0.661290323,0.245098039,0.637288136,0.588235294,0.451219512,1,0.311111111,0,0.159653715,0.267216101,0.371428571,0.512820513,0.214046823,0.534883721,0,Terence Eunuchus
0.769074949,0.857142857,0.311111111,0.660194175,0.3,0.828125,0.571428571,0.727272727,0,0,0,0.822580645,0.343137255,0.857627119,0.735294118,0.772357724,0.701042874,0.311111111,0.2,0.407992752,0.1591025,0.385714286,0.153846154,0.331103679,0.11627907,0.079491197,Terence Heautontimorumenos
0.704253883,0.899470899,0.066666667,1,0.0375,1,0.78021978,1,0.6875,1,0,0.419354839,0.294117647,1,0.658088235,1,0.365005794,0.244444444,0.12,0.777934367,0.373702763,0.3,0.205128205,0.779264214,0.441860465,0.29427121,Terence Hecyra
0.656988521,0.864197531,0.311111111,0.582524272,0.1875,0.765625,0.703296703,0.636363636,0.75,0,0,0.580645161,0.323529412,0.857627119,0.775735294,0.552845528,0.798377752,0.844444444,0.2,0.322126032,0.232562866,0.557142857,0.282051282,0.010033445,0.488372093,0.058673321,Terence Phormio
